Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
3,Magic Johnson,23,LAL,304.5,750,0.406,79,58,2,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0,0.8,12.5,0.207,6.9,7.4,,,,
4,Sidney Moncrief,25,MIL,226,750,0.301,76,51,6,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233,5.3,5.7,,,,
5,Julius Erving,32,PHI,112,750,0.149,72,65,1,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217,5.1,6.3,,,,
6,Alex English,29,DEN,42,750,0.056,82,45,10,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166,5,4.7,,,,
7,Buck Williams,22,NJN,40,750,0.053,82,49,7,36.1,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,0.185,3.9,3.3,,,,
8,Artis Gilmore,33,SAS,33,750,0.044,82,53,5,34.1,18,12,1.5,0.5,2.3,0.626,0,0.74,11,0.189,4,3.6,,,,
9,George Gervin,30,SAS,30,750,0.04,78,53,5,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159,2.2,1.1,,,,
10,Kareem Abdul-Jabbar,35,LAL,15,750,0.02,79,58,2,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,0.205,3.8,3.8,,,,
1,Larry Bird,27,BOS,652,760,0.858,79,62,1,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,7.4,7.8,,,,
2,Bernard King,27,NYK,373,760,0.491,77,47,7,34.6,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,0.218,3.7,3.6,,,,
3,Magic Johnson,24,LAL,305,760,0.401,67,54,2,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191,5.2,6.1,,,,
4,Kareem Abdul-Jabbar,36,LAL,153,760,0.201,80,54,2,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,0.163,3.2,2.8,,,,
5,Isiah Thomas,22,DET,115,760,0.151,82,49,5,36.7,21.3,4,11.1,2.5,0.4,0.462,0.338,0.733,9.1,0.144,4.7,4.3,,,,
6,Julius Erving,33,PHI,98,760,0.129,77,52,3,34.8,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,0.18,5.3,5.9,,,,
7,Adrian Dantley,27,UTA,88,760,0.116,79,45,9,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235,4.8,4.4,,,,
8,Sidney Moncrief,26,MIL,70,760,0.092,79,50,4,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,5.3,4.8,,,,
9,Jeff Ruland,25,WSB,38,760,0.05,75,35,18,41.1,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,0.144,4.9,4.3,,,,
10,Moses Malone,28,PHI,35,760,0.046,71,52,3,36.8,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,0.175,1.8,0.7,,,,
1,Larry Bird,28,BOS,763,780,0.978,80,63,1,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,0.238,8.4,8.5,,,,
2,Magic Johnson,25,LAL,264,780,0.338,77,62,2,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,0.22,5.2,5.4,,,,
3,Moses Malone,29,PHI,218,780,0.279,79,58,4,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,0.193,2.6,1.5,,,,
4,Kareem Abdul-Jabbar,37,LAL,206,780,0.264,79,62,2,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,0.204,4.6,4.9,,,,
5,Terry Cummings,23,MIL,138,780,0.177,79,59,3,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,0.189,4,3.8,,,,
6,Michael Jordan,21,CHI,134,780,0.172,82,38,14,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,8.1,8.2,,,,
7,Bernard King,28,NYK,70,780,0.09,55,24,21,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166,3.3,4.3,,,,
8,Sidney Moncrief,27,MIL,65,780,0.083,73,59,3,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.197,4.6,4.7,,,,
9,Isiah Thomas,23,DET,63,780,0.081,81,46,7,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,0.173,5.6,5.2,,,,
10,Ralph Sampson,24,HOU,26,780,0.033,82,48,6,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,0.096,2.1,0.8,,,,
1,Larry Bird,29,BOS,765,780,0.981,82,67,1,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,8.7,9.1,,,,
2,Dominique Wilkins,26,ATL,407,780,0.522,78,50,6,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,4.3,3.6,,,,
3,Magic Johnson,26,LAL,205,780,0.263,72,62,2,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,5.2,5.9,,,,
4,Hakeem Olajuwon,23,HOU,193,780,0.247,68,51,5,36.3,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,0.186,4.6,5.3,,,,
5,Kareem Abdul-Jabbar,38,LAL,135,780,0.173,79,62,2,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,4.3,4.5,,,,
